Bronze Medal,Gold Medal,Silver Medal,total
95,134,101,330
39,53,95,187
40,71,57,168
80,40,42,162
45,33,45,123
26,67,25,118
38,25,50,113
28,31,29,88
36,40,7,83
24,27,31,82
35,4,28,67
23,21,14,58
14,14,29,57
7,26,18,51
20,17,5,42
